api_name,custom,category,deprecated_name,description
achievementId,False,Other,,The achievement ID in a game for an event. Populated by the event parameter `achievement_id`.
adFormat,False,Publisher,,"Describes the way ads looked and where they were located. Typical formats include `Interstitial`, `Banner`, `Rewarded`, and `Native advanced`."
adSourceName,False,Publisher,,"The source network that served the ad. Typical sources include `AdMob Network`, `Liftoff`, `Facebook Audience Network`, and `Mediated house ads`."
adUnitName,False,Publisher,,The name you chose to describe this Ad unit. Ad units are containers you place in your apps to show ads to users.
appVersion,False,Platform / Device,,The app's versionName (Android) or short bundle version (iOS).
audienceId,False,User,,The numeric identifier of an Audience. Users are reported in the audiences to which they belonged during the report's date range. Current user behavior does not affect historical audience membership in reports.
audienceName,False,User,,The given name of an Audience. Users are reported in the audiences to which they belonged during the report's date range. Current user behavior does not affect historical audience membership in reports.
audienceResourceName,False,User,,"The resource name of this audience. Resource names contain both collection & resource identifiers to uniquely identify a resource; to learn more, see [Resource names](//google.aip.dev/122)."
brandingInterest,False,Demographics,,"Interests demonstrated by users who are higher in the shopping funnel. Users can be counted in multiple interest categories. For example, `Shoppers`, `Lifestyles & Hobbies/Pet Lovers`, or `Travel/Travel Buffs/Beachbound Travelers`."
browser,False,Platform / Device,,The browsers used to view your website.
campaignId,False,Attribution,,"The identifier of the marketing campaign. Present only for key events. Includes Google Ads Campaigns, Manual Campaigns, & other Campaigns."
campaignName,False,Attribution,,"The name of the marketing campaign. Present only for key events. Includes Google Ads Campaigns, Manual Campaigns, & other Campaigns."
character,False,Other,,The player character in a game for an event. Populated by the event parameter `character`.
city,False,Geography,,The city from which the user activity originated.
cityId,False,Geography,,"The geographic ID of the city from which the user activity originated, derived from their IP address."
cm360AccountId,False,Attribution,,The CM360 Account ID that led to the key event. Identifies the CM360 Account.
cm360AccountName,False,Attribution,,"The CM360 Account Name that led to the key event. A CM360 account consists of advertisers, sites, campaigns, and user profiles."
cm360AdvertiserId,False,Attribution,,"The CM360 Advertiser ID that led to the key event. A CM360 Advertiser contains a group of campaigns, creative assets, and other settings."
cm360AdvertiserName,False,Attribution,,"The CM360 Advertiser Name that led to the key event. A CM360 Advertiser contains a group of campaigns, creative assets, and other settings."
cm360CampaignId,False,Attribution,,"The CM360 Campaign ID that led to the key event. A CM360 campaign can be configured to specify when your ads run, what landing pages are used, and other properties."
cm360CampaignName,False,Attribution,,"The CM360 Campaign Name that led to the key event. A CM360 campaign can be configured to specify when your ads run, what landing pages are used, and other properties."
cm360CreativeFormat,False,Attribution,,The CM360 Creative Format that led to the key event. CM360 creative formats are also referred to as creative types.
cm360CreativeId,False,Attribution,,The CM360 Creative ID that led to the key event. Identifies a CM360 creative.
cm360CreativeName,False,Attribution,,The CM360 Creative Name that led to the key event. The name given to a CM360 creative.
cm360CreativeType,False,Attribution,,"The CM360 Creative Type that led to the key event. A category of CM360 creatives like 'Display' or 'Tracking'. To learn more, see [manage creatives](https://support.google.com/campaignmanager/answer/3068258)"
cm360CreativeTypeId,False,Attribution,,The CM360 Creative Type ID that led to the key event. Identifies a CM360 creative type.
cm360CreativeVersion,False,Attribution,,"The CM360 Creative Version that led to the key event. The version number helps you keep track of multiple versions of your creative in your reports. If you upload a new asset to an existing creative, the version number is increased by one."
cm360Medium,False,Attribution,,The CM360 Medium that led to the key event. The CM360 medium is also referred to as the placement cost structure.
cm360PlacementCostStructure,False,Attribution,,The CM360 Placement Cost Structure that led to the key event. Placement cost structures regulate how media cost will be calculated. For example 'CPM'.
cm360PlacementId,False,Attribution,,The CM360 Placement ID that led to the key event. Identifies a CM360 placement. A placement is the part of a website where your ad appears.
cm360PlacementName,False,Attribution,,The CM360 Placement Name that led to the key event. The given name for a CM360 placement. A placement is the part of a website where your ad appears.
cm360RenderingId,False,Attribution,,The CM360 Rendering ID that led to the key event. Identifies a CM360 creative.
cm360SiteId,False,Attribution,,The CM360 Site ID that led to the key event. Identifies a CM360 site.
cm360SiteName,False,Attribution,,The CM360 Site Name that led to the key event. The CM360 Site name from which the ad space was purchased.
cm360Source,False,Attribution,,The CM360 Source that led to the key event. The CM360 source is also referred to as the site name.
cm360SourceMedium,False,Attribution,,The CM360 Source Medium that led to the key event. A combination of the source and medium.
cohort,False,Cohort,,"The cohort's name in the request. A cohort is a set of users who started using your website or app in any consecutive group of days. If a cohort name is not specified in the request, cohorts are named by their zero based index such as cohort_0 and cohort_1."
cohortNthDay,False,Cohort,,"Day offset relative to the firstSessionDate for the users in the cohort. For example, if a cohort is selected with the start and end date of 2020-03-01, then for the date 2020-03-02, cohortNthDay will be 0001."
cohortNthMonth,False,Cohort,,"Month offset relative to the firstSessionDate for the users in the cohort. Month boundaries align with calendar month boundaries. For example, if a cohort is selected with the start and end date in March 2020, then for any date in April 2020, cohortNthMonth will be 0001."
cohortNthWeek,False,Cohort,,"Week offset relative to the firstSessionDate for the users in the cohort. Weeks start on Sunday and end on Saturday. For example, if a cohort is selected with the start and end date in the range 2020-11-08 to 2020-11-14, then for the dates in the range 2020-11-15 to 2020-11-21, cohortNthWeek will be 0001."
comparison,False,Other,,"Comparisons enable you to evaluate subsets of your data side by side. For report requests, the comparisons column is automatically added to the response. For pivot report requests, the requested dimension must be used."
contentGroup,False,Page / Screen,,A category that applies to items of published content. Populated by the event parameter `content_group`.
contentId,False,Page / Screen,,The identifier of the selected content. Populated by the event parameter `content_id`.
contentType,False,Page / Screen,,The category of the selected content. Populated by the event parameter `content_type`.
continent,False,Geography,,"The continent from which the user activity originated. For example, `Americas` or `Asia`."
continentId,False,Geography,,"The geographic ID of the continent from which the user activity originated, derived from their IP address."
country,False,Geography,,The country from which the user activity originated.
countryId,False,Geography,countryIsoCode,"The geographic ID of the country from which the user activity originated, derived from their IP address. Formatted according to ISO 3166-1 alpha-2 standard."
currencyCode,False,Ecommerce,,"The local currency code (based on ISO 4217 standard) of the eCommerce event. For example, `USD` or `GBP`. Currency is specified in tagging by the `currency` parameter. Businesses that transact in more than one currency can specify a local currency code when sending eCommerce events to Analytics, and this dimension shows those currencies. To Learn more, See [Currency reference](https://support.google.com/analytics/answer/9796179)."
date,False,Time,,"The date of the event, formatted as YYYYMMDD."
dateHour,False,Time,,The combined values of date and hour formatted as YYYYMMDDHH.
dateHourMinute,False,Time,,"The combined values of date, hour, and minute formatted as YYYYMMDDHHMM."
day,False,Time,,"The day of the month, a two-digit number from 01 to 31."
dayOfWeek,False,Time,dayOfWeekZero,The integer day of the week. It returns values in the range 0 to 6 with Sunday as the first day of the week.
dayOfWeekName,False,Time,,The day of the week in English. This dimension has values such as Sunday or Monday.
defaultChannelGroup,False,Attribution,defaultChannelGrouping,"The key event's default channel group is based primarily on source and medium. An enumeration which includes `Direct`, `Organic Search`, `Paid Social`, `Organic Social`, `Email`, `Affiliates`, `Referral`, `Paid Search`, `Video`, and `Display`."
deviceCategory,False,Platform / Device,,"The type of device: Desktop, Tablet, or Mobile."
deviceModel,False,Platform / Device,,"The mobile device model (example: iPhone 10,6)."
dv360AdvertiserId,False,Attribution,,The DV360 Advertiser ID that led to the key event. Identifies the DV360 advertiser.
dv360AdvertiserName,False,Attribution,,The DV360 Advertiser Name that led to the key event. DV360 advertisers represent real-life businesses that run advertising campaigns.
dv360CampaignId,False,Attribution,,The DV360 Campaign ID that led to the key event. Identifies the DV360 campaign.
dv360CampaignName,False,Attribution,,The DV360 Campaign Name that led to the key event. DV360 campaigns group together related insertion orders with a common business goal.
dv360CreativeFormat,False,Attribution,,"The DV360 Creative Format that led to the key event. Also referred to as the creative type. For example, expandable, video, or native."
dv360CreativeId,False,Attribution,,The DV360 Creative ID that led to the key event. Identifies the DV360 creative.
dv360CreativeName,False,Attribution,,The DV360 Creative Name that led to the key event. The name given to a DV360 creative.
dv360ExchangeId,False,Attribution,,The DV360 Exchange ID that led to the key event. Identifies the DV360 exchange.
dv360ExchangeName,False,Attribution,,"The DV360 Exchange Name that led to the key event. The DV360 ad exchange involved in the ad click. To learn more, see [managing exchanges](https://support.google.com/displayvideo/answer/9230278)."
dv360InsertionOrderId,False,Attribution,,The DV360 Insertion Order ID that led to the key event. Identifies the DV360 insertion order.
dv360InsertionOrderName,False,Attribution,,The DV360 Insertion Order Name that led to the key event. A DV360 insertion order contains a set of line items that are related to the same advertising campaign.
dv360LineItemId,False,Attribution,,The DV360 Line Item ID that led to the key event. Identifies the DV360 line item.
dv360LineItemName,False,Attribution,,The DV360 Line Item Name that led to the key event. A DV360 line item bids on impressions and serves creatives to inventory sources.
dv360Medium,False,Attribution,,"The DV360 Medium that led to the key event. The billable outcome of the insertion order. For example, `cpm`."
dv360PartnerId,False,Attribution,,The DV360 Partner ID that led to the key event. Identifies the DV360 partner.
dv360PartnerName,False,Attribution,,"The DV360 Partner Name that led to the key event. DV360 partners represent agencies, trading desks, or large individual advertisers."
dv360Source,False,Attribution,,The DV360 Source that led to the key event. The DV360 site name where your ad was displayed.
dv360SourceMedium,False,Attribution,,The DV360 Source Medium that led to the key event. A combination of the source and medium.
eventName,False,Event,,The name of the event.
fileExtension,False,Other,,"The extension of the downloaded file (for example, `pdf` or `txt`). Automatically populated if Enhanced Measurement is enabled. Populated by the event parameter `file_extension`."
fileName,False,Other,,"The page path of the downloaded file (for example, `/menus/dinner-menu.pdf`). Automatically populated if Enhanced Measurement is enabled. Populated by the event parameter `file_name`."
firstSessionDate,False,User Lifetime,firstTouchDate,"The date the user's first session occurred, formatted as YYYYMMDD."
firstUserCampaignId,False,Traffic Source,,"Identifier of the marketing campaign that first acquired the user. Includes Google Ads Campaigns, Manual Campaigns, & other Campaigns."
firstUserCampaignName,False,Traffic Source,,"Name of the marketing campaign that first acquired the user. Includes Google Ads Campaigns, Manual Campaigns, & other Campaigns."
firstUserCm360AccountId,False,Traffic Source,,The CM360 Account ID that originally acquired the user. Identifies the CM360 account.
firstUserCm360AccountName,False,Traffic Source,,"The CM360 Account Name that originally acquired the user. A CM360 account consists of advertisers, sites, campaigns, and user profiles."
firstUserCm360AdvertiserId,False,Traffic Source,,The CM360 Advertiser ID that originally acquired the user. Identifies the CM360 advertiser.
firstUserCm360AdvertiserName,False,Traffic Source,,"The CM360 Advertiser Name that originally acquired the user. A CM360 Advertiser contains a group of campaigns, creative assets, and other settings."
firstUserCm360CampaignId,False,Traffic Source,,The CM360 Campaign ID that originally acquired the user. Identifies the CM360 campaign.
firstUserCm360CampaignName,False,Traffic Source,,"The CM360 Campaign Name that originally acquired the user. A CM360 campaign can be configured to specify when your ads run, what landing pages are used, and other properties."
firstUserCm360CreativeFormat,False,Traffic Source,,The CM360 Creative Format that originally acquired the user. CM360 creative formats are also referred to as creative types.
firstUserCm360CreativeId,False,Traffic Source,,The CM360 Creative ID that originally acquired the user. Identifies a CM360 creative.
firstUserCm360CreativeName,False,Traffic Source,,The CM360 Creative Name that originally acquired the user. The name given to a CM360 creative.
firstUserCm360CreativeType,False,Traffic Source,,"The CM360 Creative Type that originally acquired the user. A category of CM360 creatives like 'Display' or 'Tracking'. To learn more, see [manage creatives](https://support.google.com/campaignmanager/answer/3068258)"
firstUserCm360CreativeTypeId,False,Traffic Source,,The CM360 Creative Type ID that originally acquired the user. Identifies a CM360 creative type.
firstUserCm360CreativeVersion,False,Traffic Source,,"The CM360 Creative Version that originally acquired the user. The version number helps you keep track of multiple versions of your creative in your reports. If you upload a new asset to an existing creative, the version number is increased by one."
firstUserCm360Medium,False,Traffic Source,,The CM360 Medium that originally acquired the user. The CM360 medium is also referred to as the placement cost structure.
firstUserCm360PlacementCostStructure,False,Traffic Source,,The CM360 Placement Cost Structure that originally acquired the user. Placement cost structures regulate how media cost will be calculated. For example 'CPM'.
firstUserCm360PlacementId,False,Traffic Source,,The CM360 Placement ID that originally acquired the user. Identifies a CM360 placement. A placement is the part of a website where your ad appears.
firstUserCm360PlacementName,False,Traffic Source,,The CM360 Placement Name that originally acquired the user. The given name for a CM360 placement. A placement is the part of a website where your ad appears.
firstUserCm360RenderingId,False,Traffic Source,,The CM360 Rendering ID that originally acquired the user. Identifies a CM360 creative.
firstUserCm360SiteId,False,Traffic Source,,The CM360 Site ID that originally acquired the user. Identifies a CM360 site.
firstUserCm360SiteName,False,Traffic Source,,The CM360 Site Name that originally acquired the user. The CM360 Site name from which the ad space was purchased.
firstUserCm360Source,False,Traffic Source,,The CM360 Source that originally acquired the user. The CM360 source is also referred to as the site name.
firstUserCm360SourceMedium,False,Traffic Source,,The CM360 Source Medium that originally acquired the user. A combination of the source and medium.
firstUserDefaultChannelGroup,False,Traffic Source,firstUserDefaultChannelGrouping,"The default channel group that first acquired the user. Default channel group is based primarily on source and medium. An enumeration which includes `Direct`, `Organic Search`, `Paid Social`, `Organic Social`, `Email`, `Affiliates`, `Referral`, `Paid Search`, `Video`, and `Display`."
firstUserDv360AdvertiserId,False,Traffic Source,,The DV360 Advertiser ID that originally acquired the user. Identifies the DV360 advertiser.
firstUserDv360AdvertiserName,False,Traffic Source,,The DV360 Advertiser Name that originally acquired the user. DV360 advertisers represent real-life businesses that run advertising campaigns.
firstUserDv360CampaignId,False,Traffic Source,,The DV360 Campaign ID that originally acquired the user. Identifies the DV360 campaign.
firstUserDv360CampaignName,False,Traffic Source,,The DV360 Campaign Name that originally acquired the user. DV360 campaigns group together related insertion orders with a common business goal.
firstUserDv360CreativeFormat,False,Traffic Source,,"The DV360 Creative Format that originally acquired the user. Also referred to as the creative type. For example, expandable, video, or native."
firstUserDv360CreativeId,False,Traffic Source,,The DV360 Creative ID that originally acquired the user. Identifies the DV360 creative.
firstUserDv360CreativeName,False,Traffic Source,,The DV360 Creative Name that originally acquired the user. The name given to a DV360 creative.
firstUserDv360ExchangeId,False,Traffic Source,,The DV360 Exchange ID that originally acquired the user. Identifies the DV360 exchange.
firstUserDv360ExchangeName,False,Traffic Source,,"The DV360 Exchange Name that originally acquired the user. The DV360 ad exchange involved in the ad click. To learn more, see [managing exchanges](https://support.google.com/displayvideo/answer/9230278)."
firstUserDv360InsertionOrderId,False,Traffic Source,,The DV360 Insertion Order ID that originally acquired the user. Identifies the DV360 insertion order.
firstUserDv360InsertionOrderName,False,Traffic Source,,The DV360 Insertion Order Name that originally acquired the user. A DV360 insertion order contains a set of line items that are related to the same advertising campaign.
firstUserDv360LineItemId,False,Traffic Source,,The DV360 Line Item ID that originally acquired the user. Identifies the DV360 line item.
firstUserDv360LineItemName,False,Traffic Source,firstUserDv360LinteItemName,The DV360 Line Item Name that originally acquired the user. A DV360 line item bids on impressions and serves creatives to inventory sources.
firstUserDv360Medium,False,Traffic Source,,"The DV360 Medium that originally acquired the user. The billable outcome of the insertion order. For example, `cpm`."
firstUserDv360PartnerId,False,Traffic Source,,The DV360 Partner ID that originally acquired the user. Identifies the DV360 partner.
firstUserDv360PartnerName,False,Traffic Source,,"The DV360 Partner Name that originally acquired the user. DV360 partners represent agencies, trading desks, or large individual advertisers."
firstUserDv360Source,False,Traffic Source,,The DV360 Source that originally acquired the user. The DV360 site name where your ad was displayed.
firstUserDv360SourceMedium,False,Traffic Source,,The DV360 Source Medium that originally acquired the user. A combination of the source and medium.
firstUserGoogleAdsAccountName,False,Traffic Source,,The Account name from Google Ads that first acquired the user.
firstUserGoogleAdsAdGroupId,False,Traffic Source,,The Ad Group Id in Google Ads that first acquired the user.
firstUserGoogleAdsAdGroupName,False,Traffic Source,,The Ad Group Name in Google Ads that first acquired the user.
firstUserGoogleAdsAdNetworkType,False,Traffic Source,,"The advertising network that first acquired the user. An enumeration which includes `Google search`, `Search partners`, `Google Display Network`, `Youtube Search`, `Youtube Videos`, `Cross-network`, `Social`, and `(universal campaign)`."
firstUserGoogleAdsCampaignId,False,Traffic Source,,Identifier of the Google Ads marketing campaign that first acquired the user.
firstUserGoogleAdsCampaignName,False,Traffic Source,,Name of the Google Ads marketing campaign that first acquired the user.
firstUserGoogleAdsCampaignType,False,Traffic Source,,"The campaign type of the Google Ads campaign that first acquired the user. Campaign types determine where customers see your ads and the settings and options available to you in Google Ads. Campaign type is an enumeration that includes: Search, Display, Shopping, Video, Demand Gen, App, Smart, Hotel, Local, and Performance Max. To learn more, see [Choose the right campaign type](https://support.google.com/google-ads/answer/2567043)."
firstUserGoogleAdsCreativeId,False,Traffic Source,firstUserCreativeId,The ID of the Google Ads creative that first acquired the user. Creative IDs identify individual ads.
firstUserGoogleAdsCustomerId,False,Traffic Source,,The Customer ID from Google Ads that first acquired the user. Customer IDs in Google Ads uniquely identify Google Ads accounts.
firstUserGoogleAdsKeyword,False,Traffic Source,,"First user Google Ads keyword text | The matched keyword that first acquired the user. Keywords are words or phrases describing your product or service that you choose to get your ad in front of the right customers. To learn more about Keywords, see [Keywords: Definition](https://support.google.com/google-ads/answer/6323)."
firstUserGoogleAdsQuery,False,Traffic Source,,The search query that first acquired the user.
firstUserManualAdContent,False,Traffic Source,,The ad content that first acquired the user. Populated by the utm_content parameter.
firstUserManualCampaignId,False,Traffic Source,,The manual Campaign ID that originally acquired the user. Identifies the manual campaign. Populated by `utm_id` URL parameter.
firstUserManualCampaignName,False,Traffic Source,,"The manual Campaign Name that originally acquired the user. The name of the manual campaign. Populated by `utm_campaign` URL parameter. To learn more, see [Collect campaign data with custom URLs](https://support.google.com/analytics/answer/10917952)."
firstUserManualCreativeFormat,False,Traffic Source,,The manual Creative Format that originally acquired the user. Identifies the creative format used in the ad. Populated by `utm_creative_format` URL parameter.
firstUserManualMarketingTactic,False,Traffic Source,,"The manual Marketing Tactic that originally acquired the user. The targeting criteria applied to a campaign. For example, remarketing or prospecting. Populated by `utm_marketing_tactic` URL parameter."
firstUserManualMedium,False,Traffic Source,,"The manual Medium that originally acquired the user. The marketing medium used in the referral. For example, `cpc`. Populated by `utm_medium` URL parameter."
firstUserManualSource,False,Traffic Source,,The manual Source that originally acquired the user. The referrer. Populated by `utm_source` URL parameter.
firstUserManualSourceMedium,False,Traffic Source,,The manual Source Medium that originally acquired the user. A combination of the source and medium.
firstUserManualSourcePlatform,False,Traffic Source,,The manual Source Platform that originally acquired the user. The platform responsible for directing traffic to a given Analytics property. Populated by `utm_source_platform` URL parameter.
firstUserManualTerm,False,Traffic Source,,The term that first acquired the user. Populated by the utm_term parameter.
firstUserMedium,False,Traffic Source,,The medium that first acquired the user to your website or app.
firstUserPrimaryChannelGroup,False,Traffic Source,,"The primary channel group that originally acquired a user. Primary channel groups are the channel groups used in standard reports in Google Analytics and serve as an active record of your property's data in alignment with channel grouping over time. To learn more, see [Custom channel groups](https://support.google.com/analytics/answer/13051316)."
firstUserSa360AdGroupId,False,Traffic Source,,The SA360 Ad Group ID that originally acquired the user. Identifies the SA360 ad group.
firstUserSa360AdGroupName,False,Traffic Source,,The SA360 Ad Group Name that originally acquired the user. SA360 Ad groups contain ads and keywords that relate to each other.
firstUserSa360CampaignId,False,Traffic Source,,The SA360 Campaign ID that originally acquired the user. Identifies the SA360 campaign.
firstUserSa360CampaignName,False,Traffic Source,,The SA360 Campaign Name that originally acquired the user. A SA360 campaign lets you organize your ads and define a goal for your advertising.
firstUserSa360CreativeFormat,False,Traffic Source,,The SA360 Creative Format that originally acquired the user. The creative format is the specific layout or design of the advertisement used in a campaign.
firstUserSa360EngineAccountId,False,Traffic Source,,The SA360 Engine Account ID that originally acquired the user. Identifies the SA360 engine account.
firstUserSa360EngineAccountName,False,Traffic Source,,"The SA360 Engine Account Name that originally acquired the user. A SA360 engine account contains campaigns, ad groups, and other items from an advertising account."
firstUserSa360EngineAccountType,False,Traffic Source,,The SA360 Engine Account Type that originally acquired the user. The type of engine used by the search engine account.
firstUserSa360KeywordText,False,Traffic Source,,The SA360 Keyword Text that originally acquired the user. The keywords that matched the search query.
firstUserSa360ManagerAccountId,False,Traffic Source,,The SA360 Manager Account ID that originally acquired the user. Identifies the SA360 manager account.
firstUserSa360ManagerAccountName,False,Traffic Source,,The SA360 Manager Account Name that originally acquired the user. The top level of the Search Ads 360 account hierarchy and is used for administration and reporting across the lower-level sub-manager and client accounts.
firstUserSa360Medium,False,Traffic Source,,"The SA360 Medium that originally acquired the user. The payment mode used in ad buying. For example, `cpc`."
firstUserSa360Query,False,Traffic Source,,The SA360 Query that originally acquired the user. The search query typed by the user.
firstUserSa360Source,False,Traffic Source,,The SA360 Source that originally acquired the user. The search query happened on this site.
firstUserSa360SourceMedium,False,Traffic Source,,The SA360 Source Medium that originally acquired the user. A combination of the source and medium.
firstUserSource,False,Traffic Source,,The source that first acquired the user to your website or app.
firstUserSourceMedium,False,Traffic Source,,The combined values of the dimensions `firstUserSource` and `firstUserMedium`.
firstUserSourcePlatform,False,Traffic Source,firstUserTrafficOrigin,The source platform that first acquired the user. Don't depend on this field returning `Manual` for traffic that uses UTMs; this field will update from returning `Manual` to returning `(not set)` for an upcoming feature launch.
fullPageUrl,False,Page / Screen,,"The hostname, page path, and query string for web pages visited; for example, the `fullPageUrl` portion of `https://www.example.com/store/contact-us?query_string=true` is `www.example.com/store/contact-us?query_string=true`."
googleAdsAccountName,False,Attribution,,The Account name from Google Ads for the campaign that led to the key event. Corresponds to `customer.descriptive_name` in the Google Ads API.
googleAdsAdGroupId,False,Attribution,,The Google Ads ad group ID attributed to the key event.
googleAdsAdGroupName,False,Attribution,,The ad group name attributed to the key event.
googleAdsAdNetworkType,False,Attribution,,"The advertising network type of the key event. An enumeration which includes `Google search`, `Search partners`, `Google Display Network`, `Youtube Search`, `Youtube Videos`, `Cross-network`, `Social`, and `(universal campaign)`."
googleAdsCampaignId,False,Attribution,,The campaign ID for the Google Ads campaign attributed to the key event.
googleAdsCampaignName,False,Attribution,,The campaign name for the Google Ads campaign attributed to the key event.
googleAdsCampaignType,False,Attribution,,"The campaign type for the Google Ads campaign attributed to the key event. Campaign types determine where customers see your ads and the settings and options available to you in Google Ads. Campaign type is an enumeration that includes: Search, Display, Shopping, Video, Demand Gen, App, Smart, Hotel, Local, and Performance Max. To learn more, see [Choose the right campaign type](https://support.google.com/google-ads/answer/2567043)."
googleAdsCreativeId,False,Attribution,,The ID of the Google Ads creative attributed to the key event. Creative IDs identify individual ads.
googleAdsCustomerId,False,Attribution,,The Customer ID from Google Ads for the campaign that led to key event. Customer IDs in Google Ads uniquely identify Google Ads accounts.
googleAdsKeyword,False,Attribution,,"The matched keyword that led to the key event. Keywords are words or phrases describing your product or service that you choose to get your ad in front of the right customers. To learn more about Keywords, see [Keywords: Definition](https://support.google.com/google-ads/answer/6323)."
googleAdsQuery,False,Attribution,,The search query that led to the key event.
groupId,False,Other,,The player group ID in a game for an event. Populated by the event parameter `group_id`.
hostName,False,Page / Screen,,"Includes the subdomain and domain names of a URL; for example, the Host Name of www.example.com/contact.html is www.example.com."
hour,False,Time,,The two-digit hour of the day that the event was logged. This dimension ranges from 0-23 and is reported in your property's timezone.
isKeyEvent,False,Event,isConversionEvent,"The string `true` if the event is a key event. Marking an event as a key event affects reports from time of creation. It doesn't change historic data. You can mark any event as key in Google Analytics, and some events (such as `first_open` or `purchase`) are marked as key events by default."
isoWeek,False,Time,,"ISO week number, where each week starts on Monday. For details, see http://en.wikipedia.org/wiki/ISO_week_date. Example values include 01, 02, & 53."
isoYear,False,Time,,"The ISO year of the event. For details, see http://en.wikipedia.org/wiki/ISO_week_date. Example values include 2022 & 2023."
isoYearIsoWeek,False,Time,,The combined values of isoWeek and isoYear. Example values include 201652 & 201701.
itemAffiliation,False,Ecommerce,,The name or code of the affiliate (partner/vendor; if any) associated with an individual item. Populated by the `affiliation` item parameter.
itemBrand,False,Ecommerce,,Brand name of the item.
itemCategory,False,Ecommerce,,"The hierarchical category in which the item is classified. For example, in Apparel/Mens/Summer/Shirts/T-shirts, Apparel is the item category."
itemCategory2,False,Ecommerce,,"The hierarchical category in which the item is classified. For example, in Apparel/Mens/Summer/Shirts/T-shirts, Mens is the item category 2."
itemCategory3,False,Ecommerce,,"The hierarchical category in which the item is classified. For example, in Apparel/Mens/Summer/Shirts/T-shirts, Summer is the item category 3."
itemCategory4,False,Ecommerce,,"The hierarchical category in which the item is classified. For example, in Apparel/Mens/Summer/Shirts/T-shirts, Shirts is the item category 4."
